Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Pierre Paul-Hus,Conservative Party of Canada,42,8577,24019,QC,M,Yes,Yes,422,0,31,0,1969-11-05,49,4.008219178
Romeo Saganash,New Democratic Party,42,8606,24001,QC,M,No,.,106,1,13,1,1962-10-28,56,8.476712329
Michel Picard,Liberal Party of Canada,42,8655,24049,QC,M,Yes,No,21,2,27,1,1960-02-15,59,4.008219178
Pierre-Luc Dusseault,New Democratic Party,42,8678,24073,QC,M,Yes,No,87,4,18,0,1991-05-31,28,8.476712329
Robert Aubin,New Democratic Party,42,8685,24076,QC,M,Yes,No,92,1,18,0,1960-05-26,59,8.476712329
Mary Ng,Liberal Party of Canada,43,10596,35055,ON,F,Yes,Yes,10,0,12,0,1969-12-16,49,2.550684932
Bryan May,Liberal Party of Canada,42,8726,35016,ON,M,Yes,Yes,6,1,16,1,1974-09-19,45,4.008219178
Karen McCrimmon,Liberal Party of Canada,42,8728,35041,ON,F,Yes,Yes,83,0,26,1,01-Jan-59,60,4.008219178
Peter Fonseca,Liberal Party of Canada,42,8822,35059,ON,M,Yes,Yes,10,0,24,1,1966-10-05,53,4.008219178
Kyle Peterson,Liberal Party of Canada,42,8836,35065,ON,M,No,.,13,0,21,1,1971-03-11,48,4.008219178
Kim Rudd,Liberal Party of Canada,42,8849,35071,ON,F,Yes,No,148,0,11,1,01-Jan-57,62,4.008219178
Anita Vandenbeld,Liberal Party of Canada,42,8871,35079,ON,F,Yes,Yes,16,0,38,1,1971-12-03,47,4.008219178
Kellie Leitch,Conservative Party of Canada,42,8918,35099,ON,F,No,.,14,3,10,0,30-Jul-70,49,8.476712329
Michelle Rempel,Conservative Party of Canada,42,9042,48009,AB,F,Yes,Yes,299,1,31,0,1980-02-14,39,8.476712329
Mark Strahl,Conservative Party of Canada,42,9130,59006,BC,M,Yes,Yes,251,1,12,0,1978-03-26,41,8.476712329
Dan Albas,Conservative Party of Canada,42,9172,59005,BC,M,Yes,Yes,116,6,31,0,01-Dec-76,42,8.476712329
Bob Zimmer,Conservative Party of Canada,42,9183,59024,BC,M,Yes,Yes,24,1,20,0,1968-10-20,51,8.476712329
Elizabeth May,Green Party of Canada,42,9187,59027,BC,F,Yes,Yes,103,5,20,1,1954-06-09,65,8.476712329
Erin O'Toole,Conservative Party of Canada,42,9243,35023,ON,M,Yes,Yes,206,1,29,0,1973-01-22,46,6.904109589
Murray Rankin,New Democratic Party,42,9253,59041,BC,M,No,.,96,3,25,1,26-Jan-50,69,6.904109589
Yvonne Jones,Liberal Party of Canada,42,9255,10004,NL,F,Yes,Yes,85,0,30,1,1968-03-15,51,6.443835616
Larry Maguire,Conservative Party of Canada,42,9258,46001,MB,M,Yes,Yes,26,0,23,1,1949-06-01,70,5.906849315
Ted Falk,Conservative Party of Canada,42,9263,46008,MB,M,Yes,Yes,16,1,16,0,1960-05-23,59,5.906849315
Chrystia Freeland,Liberal Party of Canada,42,9265,35110,ON,F,Yes,Yes,405,0,0,0,1968-08-02,51,5.906849315
Emmanuel Dubourg,Liberal Party of Canada,42,9271,24015,QC,M,Yes,Yes,9,0,27,0,1958-12-26,60,5.906849315
David Yurdiga,Conservative Party of Canada,42,9276,48023,AB,M,Yes,Yes,23,0,16,1,1964-03-26,55,5.312328767
John Barlow,Conservative Party of Canada,42,9281,48022,AB,M,Yes,Yes,120,1,31,0,1971-10-13,48,5.312328767
Mona Fortier,Liberal Party of Canada,43,10601,35078,ON,F,Yes,Yes,14,0,23,1,01-Jan-72,47,2.550684932
Adam Vaughan,Liberal Party of Canada,42,9289,35101,ON,M,Yes,Yes,58,0,25,1,1961-07-03,58,5.312328767
Jim Eglinski,Conservative Party of Canada,42,9294,48034,AB,M,No,.,11,1,19,1,1948-12-15,70,4.928767123
Celina Caesar-Chavannes,Liberal Party of Canada,42,9300,35114,ON,F,No,.,14,1,26,1,1974-06-24,45,4.008219178
Dan Ruimy,Liberal Party of Canada,42,9306,59022,BC,M,Yes,No,14,0,21,1,01-Jan-62,57,4.008219178
Colin Fraser,Liberal Party of Canada,42,9315,12011,NS,M,No,.,15,1,22,1,1978-07-27,41,4.008219178
Gord Johns,New Democratic Party,42,9318,59009,BC,M,Yes,Yes,76,1,18,1,29-Nov-69,49,4.008219178
Jati Sidhu,Liberal Party of Canada,42,9324,59017,BC,M,Yes,No,7,0,26,0,01-Jan-52,67,4.008219178
Luc Berthold,Conservative Party of Canada,42,9332,24047,QC,M,Yes,Yes,242,0,32,0,01-Jan-65,54,4.008219178
Marilène Gill,Bloc Québécois,42,9337,24046,QC,F,Yes,Yes,82,1,20,0,01-Jan-77,42,4.008219178
François-Philippe Champagne,Liberal Party of Canada,42,9341,24070,QC,M,Yes,Yes,553,0,24,1,1970-06-25,49,4.008219178
Joël Godin,Conservative Party of Canada,42,9347,24058,QC,M,Yes,Yes,380,0,21,0,1965-03-14,54,4.008219178
Sherry Romanado,Liberal Party of Canada,42,9364,24041,QC,F,Yes,Yes,28,0,35,1,1974-04-12,45,4.008219178
Fayçal El-Khoury,Liberal Party of Canada,42,9366,24040,QC,M,Yes,Yes,8,0,26,0,15-May-55,64,4.008219178
Simon Marcil,Bloc Québécois,42,9380,24048,QC,M,Yes,Yes,57,1,12,1,,,4.008219178
Kerry Diotte,Conservative Party of Canada,42,9382,48015,AB,M,Yes,Yes,5,1,16,0,1956-02-26,63,4.008219178
Rachael Thomas,Conservative Party of Canada,42,9400,48026,AB,F,Yes,Yes,74,1,30,0,01-Jan-85,34,4.008219178
René Arseneault,Liberal Party of Canada,42,9408,13005,NB,M,Yes,Yes,14,0,17,1,1966-07-01,53,4.008219178
Alaina Lockhart,Liberal Party of Canada,42,9411,13004,NB,F,Yes,No,8,0,28,1,26-May-74,45,4.008219178
Ginette Petitpas Taylor,Liberal Party of Canada,42,9415,13007,NB,F,Yes,Yes,245,0,14,0,01-Jan-68,51,4.008219178
Pat Finnigan,Liberal Party of Canada,42,9417,13006,NB,M,Yes,Yes,14,0,24,1,01-Jan-55,64,4.008219178
Serge Cormier,Liberal Party of Canada,42,9419,13001,NB,M,Yes,Yes,89,0,14,1,01-Jan-76,43,4.008219178
Matt DeCourcey,Liberal Party of Canada,42,9425,13003,NB,M,Yes,No,135,0,34,1,1983-04-04,36,4.008219178
Julie Dzerowicz,Liberal Party of Canada,42,9430,35018,ON,F,Yes,Yes,22,0,30,1,1979-12-29,39,4.008219178
Wayne Long,Liberal Party of Canada,42,9437,13009,NB,M,Yes,Yes,8,0,21,1,13-Apr-63,56,4.008219178
Karen Ludwig,Liberal Party of Canada,42,9439,13008,NB,F,Yes,No,15,0,25,1,13-May-64,55,4.008219178
Kelly McCauley,Conservative Party of Canada,42,9445,48020,AB,M,Yes,Yes,38,1,22,0,1964-06-23,55,4.008219178
Tom Kmiec,Conservative Party of Canada,42,9453,48011,AB,M,Yes,Yes,44,2,42,0,1981-07-31,38,4.008219178
